REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Arijit NANDI","Chaire de recherche du Canada sur le développement d'une infrastructure de données pour l'examen des déterminants à plusieurs niveaux de la santé mentale globale","MEES",60000,,,60000,150000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Santé des populations et services de santé"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Thomas-Martin SCHMEING","Chaire de recherche du Canada sur la biologie structurale et les machines macromoléculaires","MEES",86000,,,86000,215000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Biochimie"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Simon BARNABÉ","Fractionnement réactif de matériaux lignocellulosiques pour l'obtention de biocarburants et autres produits à valeur ajoutée","MEES",234701,,,234701,586753,"Sciences naturelles et génie","Énergie","Ressources renouvelables (rech. générale)","Autres en SNG"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Hélène LEBEL","Chaire de recherche du Canada sur la catalyse organométallique","MEES",116358,,,116358,290896,"Sciences naturelles et génie","Biopharmaceutique","Produits pharmaceutiques","Chimie organique"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Rikard BLUNCK","Chaire de recherche du Canada sur les mécanismes moléculaires des protéines membranaires","MEES",125047,,,125047,312613,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Physique"
"Montréal","HEC Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Georges DIONNE","Chaire de recherche du Canada sur la gestion du risque","MEES",274601,,,274601,714155,"Sciences sociales et humaines","Économie, gestion et gouvernance","Gestion des entreprises et des administrations","Sciences administratives, gestion des affaires et commerce"
"Estrie","Université Bishop's","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Matthew PEROS","Laboratoire et équipements spécialisés pour la recherche sur les changements climatiques et environnementaux à échelles multiples","MEES",316196,,,316196,790492,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Sciences de la terre"
"Montréal","École Polytechnique de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","François TROCHU","Contrôle de qualité des composites à haute performance pour l'aéronautique","MEES",399993,,,399993,999993,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Systèmes de transport","Génie mécanique"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nathaniel QUITORIANO","Infrastructure de dépôts chimiques en phase vapeur pour le développement des semiconducteurs à catalyseurs métalliques","MEES",250800,,,250800,626963,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Sources d'énergie renouvelables","Science et technologie des matériaux"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Daniel P. MATTON","Laboratoire intégré de protéomique pour l'expression à haut débit de protéines, la purification et l'interaction avec les protéines pour une utilisation dans la transduction du signal dans les études protéomiques sur les plantes et les protistes","MEES",235379,,,235379,588448,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Agriculture","Biochimie"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Sonia LUPIEN","Biomarqueurs du stress et du poids allostatique et association avec la santé mentale chez l'humain","MSSS",,81051,,81051,219717,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Recherches multidisciplinaires en santé"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Anthony GLINOER","Chaire de recherche du Canada en histoire de l'édition et sociologie du littéraire","MEES",26000,,,26000,65007,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en littérature"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Luis MIRANDA-MORENO","Laboratoire de sécurité intégrale des transports pour la mobilité urbaine durable","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Développement durable et technologies vertes","Systèmes de transport","Génie civil"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Kevin PETRECCA","Caractérisation des mécanismes de l'invasion du cancer du cerveau","MEES",140000,,,140000,350000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Cancer/oncologie"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jon SAKATA","Mécanismes régissant l'apprentissage, la production et la perception des signaux de communication","MEES",397661,,,397661,994154,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Structures et relations sociales (rech. générale)","Psychologie en SNG"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Étienne DE VILLERS-SIDANI","Bases neurophysiologiques et remédiation du déclin cognitif lié à l'âge","MEES",120000,,,120000,300000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie animale"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Gwénaëlle CHAILLOU","Demande d'infrastructure pour la Chaire de recherche du Canada en géochimie des hydrogéosystèmes","MEES",89829,,,89829,224573,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Sol et nappe phréatique","Géochimie et géochronologie"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jean CARON","Laboratoire en irrigation de précision","MEES",243533,,,243533,608833,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Agriculture","Science du sol"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jean-Benoit FRENETTE CHARRON","Infrastructure pour un laboratoire de biologie de la chromatine et d'épigénétique moléculaire","MEES",100000,,,100000,250000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Agriculture","Biologie végétale"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Anne KIETZIG","Laboratoire laser pour le traitement et le micro-usinage des matériaux","MEES",196991,,,196991,492477,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Production et technologie industrielles","Science et technologie des matériaux"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Pierre L'ÉCUYER","Infrastructure de calcul pour la Chaire de recherche du Canada en simulation et optimisation stochastiques","MEES",76454,,,76454,191135,"Sciences naturelles et génie","Économie, gestion et gouvernance","Rentabilité et compétitivité","Technologie de l'information: informatique"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Sylvain CHEMTOB","Chaire de recherche du Canada en rétinopathies prolifératives aux extrêmes de la vie","MSSS",,322009,,322009,830057,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Troubles de la parole, de la vision et de l'ouïe"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Guy SAUVAGEAU","Acquisition d'un séquenceur de nouvelle génération pour des projets de génomique à grande échelle","MEES",388902,,,388902,977304,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Biologie moléculaire"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Per Jesper SJOSTROM","La plasticité synaptique dans les circuits néocorticaux","MSSS",,209102,,209102,522755,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Maladies organiques du système nerveux central"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Melissa VOLLRATH","Mécanismes moléculaires et physiologiques de l'audition et de l'équilibre","MEES",60000,,,60000,150000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Carolyn BAGLOLE","Détermination et caractérisation de nouvelles voies de pénétration cellulaires et moléculaires qui régulent les pneumopathies chroniques causées par la fumée de cigarette","MSSS",,100000,,100000,250000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université du Québec à Montréal (UQAM)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Alain G. GAGNON","Chaire de recherche du Canada en études québécoises et canadiennes","MEES",119302,,,119302,298256,"Sciences sociales et humaines","Économie, gestion et gouvernance","Organisation politique de la société","Sciences politiques"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Antoine ADAMANTIDIS","Sondage optogénétique des circuits neuraux qui contrôlent le sommeil et l'éveil","MSSS",,140000,,140000,350000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","David COOKE","Laboratoire de recherche en photonique sur les impulsions térahertz ultrarapides","MEES",379794,,,379794,949486,"Sciences naturelles et génie","Optique-photonique","Industries électroniques et connexes","Physique de la matière condensée"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Masoud FARZANEH","Équipements pour la caractérisation de revêtements glaciophobes","MEES",393800,,,393800,988703,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Production et technologie industrielles","Science et technologie des matériaux"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Éric LAROSE","Plateforme de recherche en imagerie cardiométabolique: Résoudre les déterminants et les conséquences de l'athérosclérose vulnérable","MSSS",,132000,,132000,330000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Recherches multidisciplinaires en santé"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Frédéric LAUGRAND","IGALAK. Outil intégré de veille stratégique (récolte/filtrage/stockage) de la présence, de la visibilité, de l'image et de l'e-réputation des peuples autochtones des régions circumpolaires","MEES",212712,,,212712,531781,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Développement du Nord","Anthropologie"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Éric POULIN","Banc d'essai pour la simulation, la commande et l'optimisation de procédés industriels","MEES",83948,,,83948,209870,"Sciences naturelles et génie","Économie, gestion et gouvernance","Amélioration production., fab. et tech. industrielles (rech. gén.)","Génie électrique et électronique"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Denis RICHARD","Système d'imagerie pour la recherche sur le diabète","MSSS",,125000,,125000,312500,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Diabète sucré"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sylvain JUTRAS","Instrumentation d'un laboratoire d'hydrologie isotopique adapté au contexte d'études scientifiques en milieux forestiers éloignés","MEES",56798,,,56798,141993,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Hydrologie","Hydrologie"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jörg FRITZ","Régulation des réponses inflammatoire et adaptative lors de la reconnaissance immunitaire innée d'agents pathogènes","MEES",100000,,,100000,250000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Maladies infectieuses et parasitaires"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Galen HALVERSON","Centre de recherche quantitative sur les processus à la surface de la Terre : laboratoire d'étude des radionucléides cosmogéniques et laboratoire d'imagerie pour les processus de surface (GEOTOP)","MEES",72000,,,72000,180000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Croûte et enveloppe terrestres","Sciences de la terre"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Kristian WATERS","Chromatographie en phase gazeuse inverse pour l'analyse des propriétés de surface des minéraux","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Extraction et transfo. de minéraux non énergétiques (+ dérivés)","Génie minier et minéral"
"Montréal","École Polytechnique de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Christopher PAL","Infrastructure clé pour la numérisation, le traitement, l'analyse et la manipulation de données visuelles 3D","MEES",125000,,,125000,329818,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Développement de logiciels","Technologie de l'information: informatique"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marta CERRUTI","Laboratoire des interfaces bio-inorganiques","MEES",170260,,,170260,425650,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Génie biomédical et pharmacologie","Science et technologie des matériaux"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Hôpital du Saint-Sacrement","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Patrick ROCHETTE","Effets moléculaires des rayons ultraviolets du soleil sur l'oeil","MSSS",,109330,,109330,273399,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie moléculaire"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Claude LA CHARITÉ","Chaire de recherche du Canada en histoire littéraire","MEES",52660,,,52660,133655,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en littérature"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Milla RAUTIO","Développement de l'infrastructure de recherche - Écologie des lacs en milieu boréal","MEES",87339,,,87339,221575,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Autre recherche","Évolution et écologie"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jean-Paul QUÉINNEC","Création pour une dramaturgie sonore au théâtre","MEES",96897,,,96897,298144,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en théâtre"
"Montréal","Université du Québec à Montréal (UQAM)","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jonathan VERREAULT","Chaire de recherche du Canada en toxicologie comparée de la faune aviaire","MEES",125999,,,125999,314993,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Pollution et protection de l'environnement","Biologie animale"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Gwénaël BEAUPLET","Infrastructure pour l'étude de l'écologie des mammifères marins polaires : Influence des paramètres individuels et environnementaux sur le statut des populations et leurs écosystèmes","MEES",92240,,,92240,230600,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
"Capitale-Nationale","Université Laval","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Louis FORTIER","Réponse des écosystèmes marins arctiques au réchauffement climatique","MEES",103528,,,103528,258821,"Sciences naturelles et génie","Environnement et science du climat","Mers et océans","Océanographie"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Daniel BOURGAULT","Un système acoustique portatif pour des mesures en océanographie côtière","MEES",56520,,,56520,141300,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Mers et océans","Océanographie"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Christopher BRETT","Chaire de recherche du Canada sur les processus cellulaires dans les sciences de la santé humaine","MEES",100000,,,100000,254175,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie cellulaire"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jung Kwon OH","Chaire de recherche du Canada en nanobioscience","MEES",100000,,,100000,300160,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Génie biomédical et pharmacologie","Chimie des polymères"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Zachary PATTERSON","Chaire de recherche du Canada sur les liens entre l'utilisation du sol et les transports pour un développement régional durable","MEES",100000,,,100000,250628,"Sciences sociales et humaines","Développement durable et technologies vertes","Infrastructure et aménagement du territoire (rech. générale)","Urbanisme, aménagement rég. et études envir."
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","David WALSH","Chaire de recherche du Canada sur l'écologie des systèmes moléculaires et la génomique microbienne","MEES",100000,,,100000,253805,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Mers et océans","Microbiologie"
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Najat BHIRY","Laboratoire pour une approche intégrative en microgéoarchéologie","MEES",59828,,,59828,149575,"Sciences naturelles et génie","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Développement du Nord","Sciences de la terre"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Richard DEBIGARÉ","Émergence et développement de l'amyotrophie: de la cellule à l'humain","MSSS",,120382,,120382,300956,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Système musculo-squelettique et réadaptation"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Nathalie FERNANDO","Chaire de recherche du Canada en ethnomusicologie","MEES",23870,,,23870,59677,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en musique"
"Montréal","Université du Québec à Montréal (UQAM)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Wessam AJIB","Réseau sans fil maillé avec des radios MIMO cognitifs","MEES",160281,,,160281,400703,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de télécommunications","Génie électrique et électronique"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Margaret KALACSKA","Laboratoire pour la télédétection avancée, l'analyse spatiale et la visualisation 3D des changements environnementaux","MEES",100000,,,100000,252383,"Sciences naturelles et génie","Environnement et science du climat","Exploration et exploit. du milieu terrestre (rech. générale)","Information géographique"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Galen HALVERSON","Spectromètre de masse à rapport isotopique pour l'obtention de données paléo-environnementales haute précision","MEES",160000,,,160000,447483,"Sciences naturelles et génie","Environnement et science du climat","Mers et océans","Sciences de la terre"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Sarah KIMMINS","Chaire de recherche du Canada en épigénétique, en reproduction et en développement","MEES",175000,,,175000,437500,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie moléculaire"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","John RIOUX","Génétique et médecine génomique de l'inflammation","MSSS",,191919,,191919,499999,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches à caractère général et autres recherches médicales","Génétique"
"Montréal","Université de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","William FRASER","Chaire de recherche du Canada en épidémiologie périnatale","MSSS",,250208,,250208,625519,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Grossesse / accouchement"
"Capitale-Nationale","Télé-Université","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Évelyne VALLIÈRES","Infonuagique communautaire pour la recherche appelé NOMADE","MEES",181721,,,181721,457340,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Structures et relations sociales (rech. générale)","Technologie de l'information: informatique"
"Montréal","Université du Québec à Montréal (UQAM)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Louis BHERER","Laboratoire pour l'étude de l'activité physique, de la santé métabolique, de la cognition et du vieillissement: une approche globale","MEES,MSSS",14957,198729,,213686,534216,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Psychologie en SNG"
"Montréal","Université du Québec à Montréal (UQAM)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Fiona DARBYSHIRE","QUiLLE: structure et séismicité du Bouclier canadien orientale, séismologie à large bande au Québec et Labrador","MEES",194064,,,194064,485160,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Croûte et enveloppe terrestres","Géophysique"
"Montréal","Université du Québec à Montréal (UQAM)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Joseph Yvon THÉRIAULT","Laboratoire d'études de la représentation et de la régulation politiques","MEES",204822,,,204822,489780,"Sciences sociales et humaines","Économie, gestion et gouvernance","Structures et relations sociales","Sociologie"
"Outaouais","Université du Québec en Outaouais (UQO)","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Mohand Saïd ALLILI","Segmentation d'images et analyse de mouvement en vidéo: approches par sélection de caractéristiques et applications","MEES",62610,,,62610,156527,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Développement de logiciels","Technologie de l'information: informatique"
